score,hits,title,year,venue,doi,url,abstract
5,perception:2|control:1|robotics:2,An Extrinsic Sensor Calibration Framework for Sensor-fusion based Autonomous Vehicle Perception,2017,"Proceedings of the 14th International Conference on Informatics in Control, Automation and Robotics",10.5220/0006438105050512,https://doi.org/10.5220/0006438105050512,
5,perception:1|control:1|robotics:3,Decision-making in autonomous mobile robot control system based on active semantic network,2017,2017 XX IEEE International Conference on Soft Computing and Measurements (SCM),10.1109/scm.2017.7970543,https://doi.org/10.1109/scm.2017.7970543,
5,control:3|robotics:2,Discrete Control Barrier Functions for Safety-Critical Control of Discrete Systems with Application to Bipedal Robot Navigation,2017,Robotics: Science and Systems XIII,10.15607/rss.2017.xiii.073,https://doi.org/10.15607/rss.2017.xiii.073,
5,control:3|robotics:2,Model predictive Controller for Mobile Robot,2017,Transactions on Environment and Electrical Engineering,10.22149/teee.v2i2.96,https://doi.org/10.22149/teee.v2i2.96,"This paper proposes a Model Predictive Controller (MPC) for control of a P2AT mobile robot. MPC refers to a group of controllers that employ a distinctly identical model of process to predict its future behavior over an extended prediction horizon. The design of a MPC is formulated as an optimal control problem. Then this problem is considered as linear quadratic equation (LQR) and is solved by making use of Ricatti equation. To show the effectiveness of the proposed method this controller is implemented on a real robot. The comparison between a PID controller, adaptive controller, and the MPC illustrates advantage of the designed controller and its ability for exact control of the robot on a specified guide path."
5,perception:2|control:2|robotics:1,PID Controller-based Object Tracking and Speed Control System for Wheeled Soccer Robot,2017,,10.31227/osf.io/xqu9a,https://doi.org/10.31227/osf.io/xqu9a,"This paper discussed about the detection system of ball objects and speed control system of wheeled robot football using PID controller. The object detection system uses behavior-based control methods based on the orientation of the robot position against the object position. The position of the robot is controlled to keep it perpendicular to the ball. When the position of the robot is perpendicular to the ball, the robot will move with a certain speed that is controlled by the PID controller based on the distance between the robot and the ball. Test results in static conditions (static balls) show the robot can detect the object of the ball, either when the position of the object perpendicular, to the right, or left of the robot. In testing the dynamic state (moving ball) with random directions, the robot can also move dynamically as the ball position changes."
5,perception:2|control:2|robotics:1,PID Controller-based Object Tracking and Speed Control System for Wheeled Soccer Robot,2017,,10.31227/osf.io/xqu9a_v1,https://doi.org/10.31227/osf.io/xqu9a_v1,"This paper discussed about the detection system of ball objects and speed control system of wheeled robot football using PID controller. The object detection system uses behavior-based control methods based on the orientation of the robot position against the object position. The position of the robot is controlled to keep it perpendicular to the ball. When the position of the robot is perpendicular to the ball, the robot will move with a certain speed that is controlled by the PID controller based on the distance between the robot and the ball. Test results in static conditions (static balls) show the robot can detect the object of the ball, either when the position of the object perpendicular, to the right, or left of the robot. In testing the dynamic state (moving ball) with random directions, the robot can also move dynamically as the ball position changes."
5,perception:3|control:1|robotics:1,Robot Tactile Sensing: Vision Based Tactile Sensor for Force Perception,2018,"2018 IEEE 8th Annual International Conference on CYBER Technology in Automation, Control, and Intelligent Systems (CYBER)",10.1109/cyber.2018.8688163,https://doi.org/10.1109/cyber.2018.8688163,
5,perception:2|control:2|robotics:1,Robotic control for cognitive UWB radar,2018,Encyclopedia with Semantic Computing and Robotic Intelligence,10.1142/s2529737618500090,https://doi.org/10.1142/s2529737618500090,"In the paper, we describe a trajectory planning problem for a six-DoF robotic manipulator arm that carries an ultra-wideband (UWB) radar sensor with synthetic aperture (SAR). The resolution depends on the trajectory and velocity profile of the sensor head. The constraints can be modeled as an optimization problem to obtain a feasible, collision-free target trajectory of the end-effector of the manipulator arm in Cartesian coordinates that minimizes observation time. For 3D reconstruction, the target is observed in multiple height slices. For through-the-wall radar the sensor can be operated in sliding mode for scanning larger areas. For IED inspection the spotlight mode is preferred, constantly pointing the antennas towards the target to obtain maximum azimuth resolution. UWB sensors typically use a wide spectrum shared by other RF communication systems. This may become a limiting factor on system sensitivity and severely degrade the image quality. Cognitive radars can adapt dynamicall"
5,perception:2|control:1|robotics:2,Accuracy Improvement of Semantic Segmentation Using Appropriate Datasets for Robot Navigation,2019,"2019 6th International Conference on Control, Decision and Information Technologies (CoDIT)",10.1109/codit.2019.8820616,https://doi.org/10.1109/codit.2019.8820616,
5,perception:1|control:2|robotics:2,"Intelligent mobile walking-aids: perception, control and safety",2019,Advanced Robotics,10.1080/01691864.2019.1653225,https://doi.org/10.1080/01691864.2019.1653225,
5,perception:1|control:2|robotics:2,Trajectory Tracking Control of a Mobile Robot with Model Predictive Controller and Observer,2019,"2019 7th International Conference on Control, Mechatronics and Automation (ICCMA)",10.1109/iccma46720.2019.8988644,https://doi.org/10.1109/iccma46720.2019.8988644,
5,perception:1|control:2|robotics:2,A Non-linear Dynamic Controller for Differential Drive Mobile Robot Trajectory Tracking,2020,Journal of Advanced Research in Dynamical and Control Systems,10.5373/jardcs/v12sp8/20202587,https://doi.org/10.5373/jardcs/v12sp8/20202587,
5,perception:1|control:1|robotics:3,Contingent Task and Motion Planning under Uncertainty for Human–Robot Interactions,2020,Applied Sciences,10.3390/app10051665,https://doi.org/10.3390/app10051665,"Manipulation planning under incomplete information is a highly challenging task for mobile manipulators. Uncertainty can be resolved by robot perception modules or using human knowledge in the execution process. Human operators can also collaborate with robots for the execution of some difficult actions or as helpers in sharing the task knowledge. In this scope, a contingent-based task and motion planning is proposed taking into account robot uncertainty and human–robot interactions, resulting a tree-shaped set of geometrically feasible plans. Different sorts of geometric reasoning processes are embedded inside the planner to cope with task constraints like detecting occluding objects when a robot needs to grasp an object. The proposal has been evaluated with different challenging scenarios in simulation and a real environment."
5,contracts:1|control:2|robotics:2,Controller for Real and Simulated Wheelchair With a Multimodal Interface Using Gazebo and ROS,2020,2020 IEEE International Conference on Autonomous Robot Systems and Competitions (ICARSC),10.1109/icarsc49921.2020.9096195,https://doi.org/10.1109/icarsc49921.2020.9096195,
5,contracts:1|perception:1|control:2|robotics:1,Design and Development of Automation System for Measurement of Flow Nozzle Robot Spray Based on Programmable Logic Controller and Human Machine Interface at PT ADM Casting Plant,2020,SYSTEMATICS,10.35706/sys.v2i2.3771,https://doi.org/10.35706/sys.v2i2.3771,"The spray is one of the important processes in the metal smelting industry that uses die casting machines to make aluminium products. This spraying process serves to prevent the problem of stamps (products attached to the dies/mold) due to overheating (overheating) on ​​the surface of the dies. The main device in this spraying process is the nozzle that is driven by a coil from the solenoid valve. To maintain the quality of the output spray to remain standard, routine maintenance is carried out manually by two operators. Operator one is outside the machine area to see the digital flow sensor display and the second operator is inside the machine area to operate the solenoid valve nozzle spray. Communication between operators plays an important role when carrying out the process of flow spray measurement. This treatment takes 7 hours. The problems found are the lack of security for operators inside the engine area due to the potential for accidents, inaccurate measurements because there "
5,contracts:1|perception:2|control:1|robotics:1,"Grasp-Oriented Myoelectric Interfaces for Robotic Hands: A Minimal-Training Synergy-Based Framework for Intent Detection, Control and Perception",2020,Springer Proceedings in Advanced Robotics,10.1007/978-3-030-42026-0_9,https://doi.org/10.1007/978-3-030-42026-0_9,
5,perception:4|robotics:1,Neural network‐based semantic segmentation model for robot perception of driverless vision,2020,IET Cyber-Systems and Robotics,10.1049/iet-csr.2020.0040,https://doi.org/10.1049/iet-csr.2020.0040,"Driverless vision is one of the important applications of robot perception. With the development of driverless vehicles, the perception and understanding of the surrounding environment are becoming more and more important. When the types of surrounding objects are too complex, the ability of the computer to recognise the environment is poor. To improve the recognition accuracy of the computer and enhance the ability of segmentation, in this study, depth estimation is used to predict depth information to assist semantic segmentation, and then edge features of objects are introduced to enhance the contour of objects. A neural network‐based semantic segmentation model is proposed. Finally, the intrinsic mechanism of attention is used to increase the correlation between channels. The experimental results on the CamVid data set show that this model can obtain better evaluation results and improve the segmentation accuracy of images compared with other models."
5,perception:1|control:3|robotics:1,"A Robotic System Architecture Based on Safety Controller and Priority Module Using Robot Operating System (ROS), Sensor Fusion and Human Robot Interaction for Control and Safety",2021,"2021 4th International Conference on Mechatronics, Robotics and Automation (ICMRA)",10.1109/icmra53481.2021.9675591,https://doi.org/10.1109/icmra53481.2021.9675591,
5,contracts:1|control:4,Design a Robust Sliding Mode Controller Based on the State and Parameter Estimation for the Nonlinear Epidemiological Model of Covid-19,2021,,10.21203/rs.3.rs-650197/v1,https://doi.org/10.21203/rs.3.rs-650197/v1,"Abstract In this research, the vital problem of Covid-19 mitigation is looked at from an engineering point of view. At first, the behavior of coronavirus in society is expressed by a set of ordinary differential equations. In the proposed model, the control input signals are vaccination, social distance, and medical treatment. The unknown parameters of the system are estimated by Long Short-Term Memory (LSTM) algorithm. In the LSTM algorithm, the problem of long-term dependency is prevented. The uncertainty and measurement noise is an inherent characteristic of the epidemiological models. For this reason, an extended Kalman filter (EKF) is developed to estimate the state variables of the proposed model. In the rest of paper, a robust sliding mode controller is designed to control the spread of coronavirus under vaccination, social distance, and medical treatment. The stability of the closed-loop system is guaranteed by the Lyapunov theorem. The official confirmed data provided by the I"
5,contracts:1|perception:1|control:1|robotics:2,Electronic Skins for Healthcare Monitoring and Smart Prostheses,2021,"Annual Review of Control, Robotics, and Autonomous Systems",10.1146/annurev-control-071320-101023,https://doi.org/10.1146/annurev-control-071320-101023,"The human skin is a unique organ that embeds multiple functions that no artificial systems can currently replicate. Advances in materials science and engineering are driving the design of electronic skins—large-area sensor arrays that mimic some sensory modalities and have the soft, elastic form of natural skin. Here, we focus on electronic skins designed to be worn on the human body for healthcare monitoring or prosthetic applications. The primary sensing modalities are mechanical, thermal, and electrophysiological. We review key materials and associated designs needed to manufacture electronic devices that can conform to the human body and move along with it. Electronic skins offer exciting opportunities for human–machine interfaces."
5,perception:1|control:1|robotics:3,Post Quantum Secure Command and Control of Mobile Agents Inserting Quantum-Resistant Encryption Schemes in the Secure Robot Operating System,2021,International Journal of Semantic Computing,10.1142/s1793351x21400092,https://doi.org/10.1142/s1793351x21400092,"The secure command &amp; control (C&amp;C) of mobile agents arises in various settings including unmanned aerial vehicles, single pilot operations in commercial settings, and mobile robots to name a few. As more and more of these applications get integrated into aerospace and defense use cases, the security of the communication channel between the ground station and the mobile agent is of increasing importance. The development of quantum computing devices poses a unique threat to secure communications due to the vulnerability of asymmetric ciphers to Shor’s algorithm. Given the active development of new quantum resistant encryption techniques, we report the first integration of post-quantum secure encryption schemes with robotic operating system (ROS) and C&amp;C of mobile agents, in general. We integrate these schemes in the application and network layers and study the performance of these methods by comparing them to present-day security schemes such as the widely used RSA algorithm."
5,perception:2|control:1|robotics:2,Research on Multi-sensor Fusion Perception Method of Vehicle-infrastructure Collaboration for Smart Automobiles,2021,Proceedings of the 2021 1st International Conference on Control and Intelligent Robotics,10.1145/3473714.3473742,https://doi.org/10.1145/3473714.3473742,
5,control:3|robotics:2,Hybrid FA-GA Controller for Path Planning of Mobile Robot,2022,2022 International Conference on Intelligent Controller and Computing for Smart Power (ICICCSP),10.1109/iciccsp53532.2022.9862422,https://doi.org/10.1109/iciccsp53532.2022.9862422,
5,perception:1|control:2|robotics:2,Multi-Sensor Data Fusion with Fuzzy Knowledge-based Controller for Collision Avoidance of a Mobile Robot,2022,LAND.TECHNIK 2022,10.51202/9783181023952-349,https://doi.org/10.51202/9783181023952-349,
5,control:3|robotics:2,Non-Smooth Control Barrier Navigation Functions for STL Motion Planning,2022,Frontiers in Robotics and AI,10.3389/frobt.2022.782783,https://doi.org/10.3389/frobt.2022.782783,"This paper reports on a new approach to Signal Temporal Logic (STL) control synthesis, that 1) utilizes a navigation function as the basis to construct a Control Barrier Function (CBF), and 2) composes navigation function-based barrier functions using nonsmooth mappings to encode Boolean operations between the predicates that those barrier functions encode. Because of these two key features, the reported approach 1) covers a larger fragment of STL compared to existing approaches, 2) alleviates the computational cost associated with evaluation of the control law for the system in existing STL control barrier function methodologies, and 3) simultaneously relaxes some of the conservativeness of smooth combinations of barrier functions as a means of implementing Boolean operators. The paper demonstrates the efficacy of this new approach with three simulation case studies, one aiming at illustrating how complex STL motion planning specification can be realized, the second highlights the les"
5,perception:1|control:2|robotics:2,"Perception, Path Planning, and Flight Control for a Drone-Enabled Autonomous Pollination System",2022,Robotics,10.3390/robotics11060144,https://doi.org/10.3390/robotics11060144,"The decline of natural pollinators necessitates the development of novel pollination technologies. In this work, we propose a drone-enabled autonomous pollination system (APS) that consists of five primary modules: environment sensing, flower perception, path planning, flight control, and pollination mechanisms. These modules are highly dependent upon each other, with each module relying on inputs from the other modules. In this paper, we focus on approaches to the flower perception, path planning, and flight control modules. First, we briefly introduce a flower perception method from our previous work to create a map of flower locations. With a map of flowers, APS path planning is defined as a variant of the Travelling Salesman Problem (TSP). Two path planning approaches are compared based on mixed-integer programming (MIP) and genetic algorithms (GA), respectively. The GA approach is chosen as the superior approach due to the vast computational savings with negligible loss of optimal"
5,perception:3|control:1|robotics:1,Progress in symmetry preserving robot perception and control through geometry and learning,2022,Frontiers in Robotics and AI,10.3389/frobt.2022.969380,https://doi.org/10.3389/frobt.2022.969380,"This article reports on recent progress in robot perception and control methods developed by taking the symmetry of the problem into account. Inspired by existing mathematical tools for studying the symmetry structures of geometric spaces, geometric sensor registration, state estimator, and control methods provide indispensable insights into the problem formulations and generalization of robotics algorithms to challenging unknown environments. When combined with computational methods for learning hard-to-measure quantities, symmetry-preserving methods unleash tremendous performance. The article supports this claim by showcasing experimental results of robot perception, state estimation, and control in real-world scenarios."
5,control:3|robotics:2,Safe Robot Navigation in a Crowd Combining NMPC and Control Barrier Functions,2022,2022 IEEE 61st Conference on Decision and Control (CDC),10.1109/cdc51059.2022.9993397,https://doi.org/10.1109/cdc51059.2022.9993397,
5,contracts:1|control:3|robotics:1,Safe Robot Trajectory Control Using Probabilistic Movement Primitives and Control Barrier Functions,2022,Frontiers in Robotics and AI,10.3389/frobt.2022.772228,https://doi.org/10.3389/frobt.2022.772228,"In this paper, we present a novel means of control design for probabilistic movement primitives (ProMPs). Our proposed approach makes use of control barrier functions and control Lyapunov functions defined by a ProMP distribution. Thus, a robot may move along a trajectory within the distribution while guaranteeing that the system state never leaves more than a desired distance from the distribution mean. The control employs feedback linearization to handle nonlinearities in the system dynamics and real-time quadratic programming to ensure a solution exists that satisfies all safety constraints while minimizing control effort. Furthermore, we highlight how the proposed method may allow a designer to emphasize certain safety objectives that are more important than the others. A series of simulations and experiments demonstrate the efficacy of our approach and show it can run in real time."
5,control:4|robotics:1,Safety-Critical Control and Planning for Obstacle Avoidance between Polytopes with Control Barrier Functions,2022,2022 International Conference on Robotics and Automation (ICRA),10.1109/icra46639.2022.9812334,https://doi.org/10.1109/icra46639.2022.9812334,
5,perception:3|control:1|robotics:1,Trust Management Framework for Misbehavior Detection in Collective Perception Services,2022,"2022 17th International Conference on Control, Automation, Robotics and Vision (ICARCV)",10.1109/icarcv57592.2022.10004259,https://doi.org/10.1109/icarcv57592.2022.10004259,
5,perception:2|control:2|robotics:1,Wearable Power Assistant Robot Sensor Signal Prediction Algorithm and Controller Design,2022,Applied Bionics and Biomechanics,10.1155/2022/4605389,https://doi.org/10.1155/2022/4605389,"The wearable power-assisted robot is a typical auxiliary rehabilitation robot. It is an exoskeleton power-assisted device that helps people to expand their lower limb movement capabilities. Its basic principle is to obtain the motion intention information of the human body through the perception system. Control the DC servo motor installed at the hip joint and the knee joint to drive the movement of the link, so as to achieve the purpose of providing assistance to the human body. In order to improve the dynamic response frequency of the wearable robotic perception system, a sensor signal based on time series analysis is proposed. The online prediction algorithm, which can perform single-step or multistep prediction under the premise of ensuring certain accuracy, can multiply the dynamic response frequency of the wearable-assisted robot sensing system to ensure the real-time performance of the whole system. In order to realize the sensor signal prediction algorithm, we design the corres"
5,perception:1|control:2|robotics:2,A Comparative Study of Various Intelligent Algorithms Based Nonlinear PID Neural Trajectory Tracking Controller for the Differential Wheeled Mobile Robot Model,2023,Journal of Engineering,10.31026/j.eng.2014.05.03,https://doi.org/10.31026/j.eng.2014.05.03,"This paper presents a comparative study of two learning algorithms for the nonlinear PID neural trajectory tracking controller for mobile robot in order to follow a pre-defined path. As simple and fast tuning technique, genetic and particle swarm optimization algorithms are used to tune the nonlinear PID neural controller's parameters to find the best velocities control actions of the right wheel and left wheel for the real mobile robot. Polywog wavelet activation function is used in the structure of the nonlinear PID neural controller. Simulation results (Matlab) and experimental work (LabVIEW) show that the proposed nonlinear PID controller with PSOlearning algorithm is more effective and robust than genetic learning algorithm; this is demonstrated by the minimized tracking error and obtained smoothness of the velocity control signal, especially when external disturbances are applied."
5,perception:1|control:2|robotics:2,A Framework for Seamless Trajectory Estimation and Navigation of Robotic Sensor Platform with Resource-Constrained Embedded Controller,2023,2023 IEEE SENSORS,10.1109/sensors56945.2023.10324982,https://doi.org/10.1109/sensors56945.2023.10324982,
5,contracts:1|control:3|robotics:1,ADAPTIVE FUZZY STATE OBSERVER BASED ROBUST CONTROLLER FOR A ROBOTIC SYSTEM,2023,International Journal of Advanced Research,10.21474/ijar01/17397,https://doi.org/10.21474/ijar01/17397,"In this paper we propose to develop an adaptive type-2 fuzzy robust controller with a stat observer to control a robotic system. For this, we the approximate the system with two type-2 fuzzy systems. To overcome the problem of the state measures, we propose a state observer allowing to converge quickly to the real values and hence guarantees the stability of the closed loop system. The robustness of the closed loop system is ensured by using a modified sliding mode control, where the chattering phenomenon are removed. Simulation results are given to show the efficiency of the proposed approach."
5,perception:2|control:1|robotics:2,Autonomous perception method of multi‐degree‐of‐freedom industrial robot arm trajectory,2023,Advanced Control for Applications,10.1002/adc2.137,https://doi.org/10.1002/adc2.137,"Abstract In this study, a novel autonomous sensing method of multi‐degree‐of‐freedom industrial robot arm trajectory is proposed. The research takes the distance sensor to collect environmental data, and takes the point cloud data scanned by 3D laser as the basis. The environment model of multi‐degree‐of‐freedom industrial robotic arm is established by Iterative Closest Point (ICP). Then the target object is calibrated by binocular imaging technology. Subsequently, angle of each joint of multi‐degree‐of‐freedom industrial robotic arm is calculated to determine the spatial attitude of the robotic arm. In addition, 3D LiDAR is installed at the end of the robotic arm, and the end trajectory of multi‐degree‐of‐freedom industrial robotic arm is sensed autonomously by using the optimal function. The proposed method has advantages of high accuracy and short sensing time in autonomous sensing of multi‐degree‐of‐freedom industrial robot arm trajectory."
5,perception:2|control:2|robotics:1,Curved surface path planning of operational cleaning robot based on RGB-D semantic segmentation,2023,Third International Conference on Control and Intelligent Robotics (ICCIR 2023),10.1117/12.3011194,https://doi.org/10.1117/12.3011194,
5,contracts:1|perception:1|control:2|robotics:1,Experimental validation of an Actor-Critic Model Predictive Force Controller for robot-environment interaction tasks,2023,,10.36227/techrxiv.24183192.v1,https://doi.org/10.36227/techrxiv.24183192.v1,"In industrial settings, robots are typically employed to accurately track a reference force to exert on the surrounding environment to complete interaction tasks. Interaction controllers are typically used to achieve this goal. Still, they either require manual tuning, which demands a significant amount of time, or exact modeling of the environment the robot will interact with, thus possibly failing during the actual application. A significant advancement in this area would be a high-performance force controller that does not need operator calibration and is quick to be deployed in any scenario. With this aim, this paper proposes an A ctor- C ritic M odel P redictive F orce C ontroller ( ACMPFC ), which outputs the optimal setpoint to follow in order to guarantee force tracking, computed by continuously trained neural networks. This strategy is an extension of a reinforcement learning-based one, born in the context of human-robot collaboration, suitably adapted to robot-environment int"
5,perception:2|control:1|robotics:2,Multiscale Feature Extraction Network for Real-time Semantic Segmentation of Road Scenes On the Autonomous Robot,2023,"International Journal of Control, Automation and Systems",10.1007/s12555-021-0930-2,https://doi.org/10.1007/s12555-021-0930-2,
5,perception:1|control:2|robotics:2,Real scenario analysis and prevention of functional safety faults of autonomous driving perception chips,2023,Third International Conference on Control and Intelligent Robotics (ICCIR 2023),10.1117/12.3010656,https://doi.org/10.1117/12.3010656,
5,control:4|robotics:1,Research on key technology of semiconductor robot controller,2023,Journal of Artificial Intelligence and Robotics,10.61577/jaiar.2023.100002,https://doi.org/10.61577/jaiar.2023.100002,"In order to solve the nationalization of Chinese semiconductor robot controllers, this paper studies the critical technology of semiconductor robot controllers. Firstly, the article describes the industry background and primary application of semiconductor robots and analyzes the core components' main problems. Secondly, the paper introduces the semiconductor robot's software architecture and technical index and designs a real-time controller function software based on x86 architecture. Third, the article studies the key software technologies of semiconductor robot controllers, and critical technologies such as high-precision trajectory planning, active wafer center, safety protection, and fast teaching are introduced. Finally, the robot controller software designed in this paper adopts layered architecture to ensure system reliability and meet the needs of the semiconductor manufacturing industry. The robot controller software supports non-standard requirements flexibly through modula"
5,control:4|robotics:1,Safety controller based on control barrier functions using quasi-saturation function,2023,Artificial Life and Robotics,10.1007/s10015-023-00899-3,https://doi.org/10.1007/s10015-023-00899-3,
5,contracts:1|perception:1|control:2|robotics:1,Sub controller design on KRSBI humanoid R-SCUAD robot sub controller design on KRSBI humanoid robot R-SCUAD,2023,Signal and Image Processing Letters,10.31763/simple.v4i2.27,https://doi.org/10.31763/simple.v4i2.27,"The purpose of this research is to design OpenCM9.04 controllers such as Arbotix (Pro) with MPU-9250 sensor as robot balance, as well as controlling the movement of DYNAMIXEL servo angles based on camera input on the robot, the Design of the OpenCM9.04 controller board on the robot consists of 2 main components namely OpenCM9.04 which works as a mini system and OpenCM 485 Expansion Board that works as a conference to the serial that provides interface to buttons and LEDs as well as a power supply circuit , where OpenCM9.04 as the main controller then sends data to OpenCM 485 which will process the MPU-9250 sensor as well as the DYNAMIXEL servo on the robot. The hardware system design consists of an MPU-9250 sensor to maintain balance in the robot so that the robot does not fall when walking or running and servo DYNAMIXEL to move the corners on the robot. The results obtained by the OpenCM9.04 controller have been successfully developed and tested on robots in the KRSBI-H racetrack and "
5,perception:3|control:1|robotics:1,A Method for Designing the Perception Module of Autonomous Vehicles Using Stereo Depth and Semantic Segmentation,2024,"2024 24th International Conference on Control, Automation and Systems (ICCAS)",10.23919/iccas63016.2024.10773283,https://doi.org/10.23919/iccas63016.2024.10773283,
5,perception:1|control:2|robotics:2,Control Barrier Function Based Adaptive Tracking of a Mobile Robot under Field of View Constraints,2024,2024 43rd Chinese Control Conference (CCC),10.23919/ccc63176.2024.10662702,https://doi.org/10.23919/ccc63176.2024.10662702,
5,perception:1|control:3|robotics:1,Design and Performance Comparison of FuzzyPID and Non-linear Model Predictive Controller for 4-Wheel Omni-drive Robot,2024,,10.21203/rs.3.rs-4064463/v1,https://doi.org/10.21203/rs.3.rs-4064463/v1,"Abstract Trajectory tracking for an Omni-drive robot presents a challenging task that demands an efficient controller design. To address the limitations of manual tuning, we introduce a self-optimizing controller named fuzzyPID, leveraging the analysis of responses from various dynamic and static systems. The rule-based controller design is implemented using Matlab/Simulink, and trajectory tracking simulations are conducted within the CoppeliaSim environment. Similarly, a non-linear model predictive controller(NMPC) is proposed to compare tracking performance with fuzzyPID. We also assess the impact of tunable parameters of NMPC on its tracking accuracy. Simulation results validate the precision and effectiveness of NMPC over fuzzyPID controller while trading computational complexity."
5,contracts:1|perception:1|control:2|robotics:1,Experimental validation of an Actor-Critic Model Predictive Force Controller for robot-environment interaction tasks,2024,,10.36227/techrxiv.24183192.v2,https://doi.org/10.36227/techrxiv.24183192.v2,"In industrial settings, robots are typically employed to accurately track a reference force to exert on the surrounding environment to complete interaction tasks. Interaction controllers are typically used to achieve this goal. Still, they either require manual tuning, which demands a significant amount of time, or exact modeling of the environment the robot will interact with, thus possibly failing during the actual application. A significant advancement in this area would be a high-performance force controller that does not need operator calibration and is quick to be deployed in any scenario. With this aim, this paper proposes an A ctor- C ritic M odel P redictive F orce C ontroller ( ACMPFC ), which outputs the optimal setpoint to follow in order to guarantee force tracking, computed by continuously trained neural networks. This strategy is an extension of a reinforcement learning-based one, born in the context of human-robot collaboration, suitably adapted to robot-environment int"
5,perception:1|control:1|robotics:3,Mobile Cooperative Robot Safe Interaction Method Based on Embodied Perception,2024,2024 IEEE 18th International Conference on Control &amp;amp; Automation (ICCA),10.1109/icca62789.2024.10591817,https://doi.org/10.1109/icca62789.2024.10591817,
5,perception:1|control:1|robotics:3,Perception and Autonomous Navigation Framework for an Underwater Micro-Bionic Snail Robot,2024,"2024 6th International Conference on Robotics, Intelligent Control and Artificial Intelligence (RICAI)",10.1109/ricai64321.2024.10911260,https://doi.org/10.1109/ricai64321.2024.10911260,
5,control:3|robotics:2,Safe contact-based robot active search using Bayesian optimization and control barrier functions,2024,Frontiers in Robotics and AI,10.3389/frobt.2024.1344367,https://doi.org/10.3389/frobt.2024.1344367,"In robotics, active exploration and learning in uncertain environments must take into account safety, as the robot may otherwise damage itself or its surroundings. This paper presents a method for safe active search using Bayesian optimization and control barrier functions. As robot paths undertaken during sampling are continuous, we consider an informative continuous expected improvement acquisition function. To safely bound the contact forces between the robot and its surroundings, we leverage exponential control barrier functions, utilizing the derivative of the force in the contact model to increase robustness to uncertainty in the contact boundary. Our approach is demonstrated on a fully autonomous robot for ultrasound scanning of rheumatoid arthritis (RA). Here, active search is a critical component of ensuring high image quality. Furthermore, bounded contact forces between the ultrasound probe and the patient ensure patient safety and better scan quality. To the best of our know"
5,perception:1|control:3|robotics:1,Safety Verification of Closed-loop Control System with Anytime Perception,2024,2024 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra57147.2024.10611044,https://doi.org/10.1109/icra57147.2024.10611044,
5,contracts:1|control:2|robotics:2,The Safety Filter: A Unified View of Safety-Critical Control in Autonomous Systems,2024,"Annual Review of Control, Robotics, and Autonomous Systems",10.1146/annurev-control-071723-102940,https://doi.org/10.1146/annurev-control-071723-102940,"Recent years have seen significant progress in the realm of robot autonomy, accompanied by the expanding reach of robotic technologies. However, the emergence of new deployment domains brings unprecedented challenges in ensuring safe operation of these systems, which remains as crucial as ever. While traditional model-based safe control methods struggle with generalizability and scalability, emerging data-driven approaches tend to lack well-understood guarantees, which can result in unpredictable catastrophic failures. Successful deployment of the next generation of autonomous robots will require integrating the strengths of both paradigms. This article provides a review of safety filter approaches, highlighting important connections between existing techniques and proposing a unified technical framework to understand, compare, and combine them. The new unified view exposes a shared modular structure across a range of seemingly disparate safety filter classes and naturally suggests dir"
5,control:2|robotics:3,A Koopman Operator-based NMPC Framework for Mobile Robot Navigation under Uncertainty,2025,2025 European Control Conference (ECC),10.23919/ecc65951.2025.11187257,https://doi.org/10.23919/ecc65951.2025.11187257,
5,control:2|robotics:3,A microservice based control architecture for mobile robots in safety-critical applications,2025,Robotics and Autonomous Systems,10.1016/j.robot.2024.104795,https://doi.org/10.1016/j.robot.2024.104795,
5,contracts:1|robotics:4,Brain-Robot Interface-Based Sound Source Navigation of an Assistive Robot in Industry 4.0,2025,,10.21203/rs.3.rs-6928093/v1,https://doi.org/10.21203/rs.3.rs-6928093/v1,"Abstract This paper proposes a bi-modal Brain-Robot Interface (BRI) -based framework to localize a sound source in an industry 4.0 environment with a semi-autonomous mobile robot. The online BRI paradigm introduces a technique to incorporate human motion intentions using Motor Imagery (MI) and intended sound directions using Auditory Steady State Response (ASSR) with a mobile robot in audio-aware industrial beds. A Common Spatial Pattern (CSP)-based Linear Discriminant Analysis (LDA) classification algorithm is utilized so that the direction of the intended sound source is localized from the human electroencephalograph (EEG) signals mounted over the temporal, occipital, and parietal cortices. The entire system has been experimented under different scenarios (with and without background noise) and has been evaluated with proposed reliability metrics. The complete BRI system shows an overall accuracy of 90.47% with MI LDA classifier, over 6 dB differences with ASSR SNR, and reliability s"
